feature,n_septic,n_control,mean_septic,mean_control,hedges_g,univariate_auc,welch_t,p_welch,p_mannwhitney,q_welch,q_mannwhitney,significant,abs_g
Phosphate_hours_since,1121,10574,7.042617046758599,7.701671788138141,-0.17666991159289466,0.4536922739987855,-4.85232076592144,1.3690488446863646e-06,3.271980861314767e-07,3.2172647850129572e-06,7.176544689150388e-07,True,0.17666991159289466
HR_obs_rate,1253,12981,0.8628515632554045,0.8815099034531866,-0.17591223128039382,0.4618041728739401,-5.312571984811346,1.2506859491290395e-07,6.958842495763225e-06,3.291805418107632e-07,1.3875510188521823e-05,True,0.17591223128039382
WBC_locf,1154,12649,12.946999546624655,11.747248806105304,0.17361194963957335,0.5386532223932321,4.249310356920463,2.3021324101753057e-05,1.3357602595569002e-05,4.704357533836494e-05,2.5699714935334515e-05,True,0.17361194963957335
SBP_slope6,1135,12857,-0.13166875081267085,0.033819506009793644,-0.17298704034161475,0.46667240012896866,-3.8473763125158995,0.00012558663338554436,0.00019280394486371848,0.00024022094409211682,0.0003356216817998062,True,0.17298704034161475
Temp_std24,793,10225,0.42684155671206064,0.39364250391073874,0.17294309610494604,0.5644046161862507,4.987219508088983,7.294320696432949e-07,1.4299099355047325e-09,1.7645819920047355e-06,3.5911478532905113e-09,True,0.17294309610494604
WBC_max6,1154,12649,13.222651873946035,11.991458508600495,0.17188955507147963,0.5388688839432577,4.17282317333699,3.215097964937633e-05,1.1952203590792544e-05,6.489369512052032e-05,2.3131029302180866e-05,True,0.17188955507147963
WBC_mean6,1154,12649,12.94771447912685,11.761517492137306,0.1703982437441115,0.5374880471572615,4.162195438089809,3.366058609753931e-05,2.411685861555967e-05,6.752641967128313e-05,4.533969419725217e-05,True,0.1703982437441115
WBC_min6,1154,12649,12.674105567544492,11.530028953808426,0.1689374926054149,0.5362664217569895,4.133343576085993,3.811418325340753e-05,4.402020176271174e-05,7.50872232956352e-05,8.090863899403442e-05,True,0.1689374926054149
sofa_coag,1153,12682,0.4786517495630311,0.36960249461299416,0.168836766110131,0.5315964004681601,4.693288493631061,2.9728680517709615e-06,3.167460305252298e-05,6.6086053313016645e-06,5.8875392114576616e-05,True,0.168836766110131
Bilirubin_total_locf,596,3449,2.4001687210703255,1.7172117986003188,0.16861344933172004,0.5249965460273477,2.8344101464596254,0.004726322815028402,0.05073696661130891,0.0073347179535110585,0.06444966029004104,True,0.16861344933172004
BUN_slope6,1026,12517,0.013747410242297893,-0.025156981575528904,0.1657370276591218,0.5626117291399876,5.086185536693974,4.237077753318023e-07,1.56594164852358e-11,1.048119233715511e-06,4.441334503140153e-11,True,0.1657370276591218
Platelets_std24,796,10219,11.224573488399713,9.415493921387043,0.16504407602402718,0.5875226386359825,4.819938545168984,1.6717759217489963e-06,1.5459360010271495e-16,3.900810484080992e-06,6.27917215232015e-16,True,0.16504407602402718
unit_unknown,1253,12981,0.5403032721468476,0.45828518604113705,0.16458643964507938,0.5410090430528552,5.56122636582572,3.1655050409482253e-08,2.7273079700778717e-08,8.60703436753691e-08,6.363718596848368e-08,True,0.16458643964507938
Temp_min6,1240,12841,36.77603086040866,36.68626556726234,0.16448768335029096,0.5538659874745963,4.295871336932946,1.862758336843756e-05,3.5063012392376885e-10,3.878781600136682e-05,9.228584861673596e-10,True,0.16448768335029096
